station_id,country,city,lat,lon,capacity,status,year_deployed,zone_type
ST0001,Kenya,Nairobi,-1.271488,36.813075,10,active,2022,residential
ST0002,Kenya,Nairobi,-1.266958,36.862914,10,active,2024,industrial
ST0003,Kenya,Nairobi,-1.293414,36.810199,10,active,2020,residential
ST0004,Kenya,Nairobi,-1.239013,36.840246,10,active,2024,industrial
ST0005,Kenya,Mombasa,-4.057561,39.684483,40,active,2024,commercial
ST0006,Kenya,Mombasa,-4.05738,39.654234,20,active,2023,residential
ST0007,Kenya,Mombasa,-4.036218,39.610808,20,active,2022,industrial
ST0008,Kenya,Mombasa,-4.095225,39.651337,10,inactive,2022,transit hub
ST0009,Kenya,Mombasa,-4.073862,39.677633,10,active,2023,industrial
ST0010,Kenya,Kisumu,-0.118943,34.725587,30,inactive,2024,transit hub
ST0011,Kenya,Kisumu,-0.047733,34.761183,20,active,2020,residential
ST0012,Kenya,Kisumu,-0.089676,34.725214,30,inactive,2020,commercial
ST0013,Kenya,Kisumu,-0.108033,34.771284,40,active,2022,transit hub
ST0014,Kenya,Nakuru,-0.337629,36.091297,30,active,2022,transit hub
ST0015,Kenya,Nakuru,-0.321118,36.071275,10,active,2024,residential
ST0016,Kenya,Nakuru,-0.32115,36.135594,20,active,2023,residential
ST0017,Kenya,Nakuru,-0.303504,36.048295,30,active,2020,commercial
ST0018,Kenya,Nakuru,-0.278423,36.043401,30,active,2023,residential
ST0019,Nigeria,Lagos,6.530645,3.320416,30,active,2021,industrial
ST0020,Nigeria,Lagos,6.484533,3.385112,40,active,2021,residential
ST0021,Nigeria,Lagos,6.546533,3.384347,30,active,2024,industrial
ST0022,Nigeria,Lagos,6.52091,3.370173,30,maintenance,2021,residential
ST0023,Nigeria,Lagos,6.480023,3.357611,40,active,2020,commercial
ST0024,Nigeria,Lagos,6.51056,3.41092,20,active,2021,industrial
ST0025,Nigeria,Lagos,6.534688,3.326315,10,active,2023,industrial
ST0026,Nigeria,Lagos,6.534102,3.367654,30,inactive,2024,commercial
ST0027,Nigeria,Abuja,9.051956,7.509652,30,active,2022,industrial
ST0028,Nigeria,Abuja,9.103194,7.51924,20,active,2023,transit hub
ST0029,Nigeria,Abuja,9.047087,7.482026,20,maintenance,2024,transit hub
ST0030,Nigeria,Abuja,9.082202,7.520568,20,active,2021,residential
ST0031,Nigeria,Kano,11.985745,8.51115,10,active,2024,commercial
ST0032,Nigeria,Kano,11.96693,8.480834,10,inactive,2022,transit hub
ST0033,Nigeria,Kano,12.024496,8.557407,20,active,2020,commercial
ST0034,Nigeria,Kano,11.99796,8.546826,10,inactive,2023,residential
ST0035,Nigeria,Kano,12.010969,8.497366,20,maintenance,2023,residential
ST0036,Nigeria,Kano,12.010962,8.562861,30,inactive,2024,industrial
ST0037,Nigeria,Kano,11.999045,8.563659,20,active,2024,residential
ST0038,Nigeria,Kano,11.921528,8.541377,30,maintenance,2023,transit hub
ST0039,Nigeria,Port Harcourt,4.817944,7.040474,40,active,2020,commercial
ST0040,Nigeria,Port Harcourt,4.818086,6.989817,30,active,2020,residential
